station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP
FRW00034064,88736.37,103552.06,189554.6,2588,34.2876236476,40.0123879444,73.2436630603
CHM00057006,664335.79,804801.34,1743981.48,19352,34.3290507441,41.587502067,90.1189272427
FR009022000,138802.46,179998.7,349450.9,4042,34.3400445324,44.5320880752,86.4549480455
JAW00043319,256324.73,149559.96,1303845.46,7426,34.5172003771,20.1400430918,175.578435228
FR000007747,1350924.17,758736.88,4410379.53,39126,34.5275307979,19.3921402648,112.722474314
CHM00058477,678811.85,551097.74,3341882.95,19660,34.5275610376,28.0314211597,169.983873347
USC00067970,625600.71,1219048.76,2825864.14,18110,34.5444897846,67.3135704031,156.038881281
USC00364047,1451802.36313,2034950.97603,4390085.91105,41939,34.6170000032,48.521685687,104.677887194
KS000047165,1048220.39,877639.59,5681744.47,30249,34.6530592747,29.0138381434,187.832472809
USC00066660,37131.5,137167.03,96884.11,1070,34.7023364486,128.193485981,90.5458971963
GRE00105240,395926.61,277419.11,874693.67,11384,34.7792173226,24.369212052,76.8353540056
USC00286146,1474508.33607,1940162.1685,5100967.52158,42304,34.8550571121,45.8623810632,120.578846482
USC00456763,1302757.49524,2383693.076,3062433.47119,37348,34.8815865706,63.8238480241,81.9972547712
USC00352974,1477169.59771,2574795.20215,4694236.82502,42272,34.944398129,60.9101817315,111.048373037
USC00047516,1477650.47233,3607769.2043,5139317.98861,42245,34.9781150983,85.4010937223,121.655059501
CHM00054539,663258.0,1146584.98,2368976.42,18929,35.0392519415,60.5729293676,125.150637646
CHM00053863,702804.09,1275246.17,1827391.81,20025,35.0963340824,63.6827051186,91.2555210986
CHM00054725,742941.59,911667.99,2472597.7,21121,35.1754931111,43.1640542588,117.068211732
USC00106375,1492352.75706,4803794.60478,2880413.3774,42397,35.1994895172,113.305059433,67.9390847795
USC00182020,1474587.33709,1565770.60996,4700444.14921,41860,35.22664446,37.4049357372,112.289635671
USC00350788,1482305.20284,1796738.92591,3568568.33852,42063,35.2401208386,42.7154250984,84.8386548396
USW00013707,263994.93,232926.23,1016074.11,7487,35.2604420996,31.110755977,135.711781755
USC00290640,1436955.14916,5506937.60722,2912932.08363,40690,35.3147001514,135.338845102,71.5884021537
USC00354060,1496380.46778,2505725.08472,5378467.14465,42227,35.4365800975,59.3394057054,127.370335204
GRE00105232,608761.49,274896.21,1236200.67,17167,35.461145803,16.0130605231,72.0102912565
GM000002288,1182127.01,1378613.61,2438208.41,33327,35.4705497044,41.3662678909,73.160152729
CHM00054616,544247.55,572572.84,2033991.27,15340,35.4789797914,37.3254784876,132.59395502
USC00188003,1502879.6615,1262143.18381,4979647.07381,42304,35.5257106065,29.8350790424,117.711021979
CHM00058238,751195.39,515286.75,3292256.51,21121,35.5662795322,24.3968917191,155.87597699
FRW00034053,189301.96,222634.43,397194.94,5297,35.7375797621,42.0302869549,74.9848857844
CHM00054843,755434.67,867753.48,2472835.56,21121,35.7669935136,41.0848671938,117.07947351
CHM00058752,102222.83,81585.68,671218.93,2858,35.7672603219,28.5464240728,234.856168649
JAW00043285,3734.38,3080.98,33280.71,104,35.9075,29.6248076923,320.006826923
USC00351902,1517010.3664,2388145.14642,5127216.97522,42240,35.9140711742,56.5375271407,121.382977633
JA000047767,665162.56,754104.91,2822873.51,18516,35.9236638583,40.7272040397,152.455903543
CHM00054618,168606.58,196339.52,585832.6,4685,35.9885976521,41.9081152615,125.044311633
USC00458530,1470845.2475,2926117.045,2835607.83111,40865,35.9927871651,71.604479261,69.3896447109
CHM00057036,760703.53,504880.71,2000454.24,21121,36.0164542399,23.9042048198,94.7139927087
USR0000NTUS,85733.2286111,126079.890278,112461.64,2368,36.204910731,53.2431969078,47.4922466216
USC00055327,1403775.64972,3956757.87556,2968676.78389,38772,36.2059127649,102.051941493,76.5675431726
USC00352493,1523370.37332,2255270.95136,5135977.49055,42028,36.2465588017,53.6611533112,122.203709207
GM000004204,2390914.4,2894028.57,3928858.83,65935,36.2616880261,43.8921448396,59.586848108
USC00352633,1532007.59693,2107745.16118,4965888.61445,42210,36.2948968711,49.9347349249,117.647207165
JAW00043306,154513.43,97429.33,1344527.52,4255,36.3133795535,22.8976098707,315.987666275
CHM00054906,555424.64,447120.11,2062424.59,15292,36.3212555585,29.2388248758,134.869512817
USC00182523,1534414.58787,1700136.55551,5188482.56064,42242,36.3243830281,40.2475393095,122.827578255
USC00267806,1357796.2261,3701752.15799,2529093.01373,37311,36.3913115731,99.2134265495,67.784112292
USC00353827,1540121.65979,2757782.37306,3087886.1484,42296,36.4129388073,65.201966452,73.0065762342
CHM00058321,756446.67,518085.71,2896190.19,20756,36.4447229717,24.9607684525,139.535083349
FRE00104907,1173811.84,568315.45,2677872.49,32196,36.4583128339,17.6517408995,83.1740741086
USC00306768,1205448.60361,1434866.6475,4224203.73063,33055,36.4679656213,43.4084600666,127.793185014
USC00305806,1351322.84921,1230032.93053,4757256.77946,37042,36.4808284978,33.2064394614,128.428723597
USC00421241,682851.182836,1331710.55321,1359533.79691,18684,36.5473765166,71.2754524303,72.7646005624
GME00102404,480563.29,407597.79,1041866.86,13146,36.5558565343,31.0054609767,79.253526548
GMW00034050,211373.23,364338.43,429362.63,5781,36.5634371216,63.0234267428,74.2713423283
USC00056012,1097408.54,4801583.8475,2178567.27528,29976,36.6095723245,160.180939668,72.6770508166
JA000047617,755256.3,1377869.3,3956712.96,20625,36.6184872727,66.8057842424,191.840628364
USC00282652,1549203.34366,2158656.49719,5130567.7087,42304,36.6207295685,51.0272432203,121.278548334
USC00296138,1535267.62447,3157494.27193,2902926.498,41907,36.6351116631,75.3452710032,69.2706826545
CHM00053845,774159.81,1534846.99,2035765.43,21121,36.6535585436,72.6692386724,96.3858448937
USW00093765,113942.64,110505.0725,542538.46,3107,36.6728805922,35.5664861603,174.618107499
GM009032000,157006.28,200575.51,338825.55,4280,36.6837102804,46.8634369159,79.1648481308
USW00093728,186547.61,229134.63,567918.5,5080,36.7219704724,45.105242126,111.794980315
USC00449094,1236327.0225,1817641.105,3489823.23965,33651,36.7396815102,54.0144752013,103.706375432
USR0000TMEI,67308.5916667,77223.0266667,81674.12,1831,36.7605634444,42.1753286,44.6062916439
USC00361675,1542637.17221,2154625.99121,4535995.26334,41939,36.7828792343,51.3752352513,108.156972349
GME00121126,831260.1,932096.12,1849893.96,22582,36.8107386414,41.2760658932,81.9189602338
USC00182215,1294056.2325,1059434.61556,4239701.90111,35100,36.8676989316,30.1833223805,120.789227952
USC00029005,1499688.22984,2316471.54497,2932922.04071,40615,36.9244916864,57.0348773845,72.2127795324
CHM00055591,726117.42,1928791.29,1560401.29,19659,36.9356233786,98.112380589,79.3733806399
USC00180530,898828.545,781733.8425,3424116.9975,24316,36.9644902533,32.1489489431,140.817445201
USC00291918,1358060.96785,2426157.08799,2777473.70431,36675,37.0296105752,66.1528858347,75.7320710104
CHM00057713,783253.1,395700.57,2846414.5,21121,37.0840916623,18.7349353724,134.767032811
GME00115771,688555.03,628191.24,1392538.95,18551,37.1168686324,33.8629313784,75.0654385208
FRE00104955,664510.51,328961.04,1302348.23,17899,37.1255662328,18.378738477,72.760949215
USW00013752,1571029.09481,1252112.08197,5011663.41141,42303,37.1375338583,29.5986592433,118.470638286
