,continent,year,TMAX,TMIN,PRCP,NOBS
70,europa,1970,11.46,4.3802739726,2.43342465753,365
71,europa,1971,12.8769863014,5.11260273973,1.48493150685,365
72,europa,1972,12.1972677596,4.66147540984,1.76830601093,366
73,europa,1973,12.6917808219,4.91068493151,2.22191780822,365
74,europa,1974,12.9295890411,5.62,2.3895890411,365
75,europa,1975,13.6095890411,5.58876712329,1.6504109589,365
76,europa,1976,12.8549180328,4.8693989071,1.47595628415,366
77,europa,1977,12.6709589041,5.47123287671,2.15479452055,365
78,europa,1978,11.878630137,4.88849315068,2.1301369863,365
79,europa,1979,11.3789041096,4.10493150685,2.00410958904,365
80,europa,1980,11.825136612,4.19535519126,2.70054644809,366
81,europa,1981,12.1260273973,4.62356164384,2.57753424658,365
82,europa,1982,13.2331506849,5.09205479452,1.92,365
83,europa,1983,13.6216438356,5.51698630137,2.21835616438,365
84,europa,1984,12.0784153005,5.16775956284,2.13333333333,366
85,europa,1985,11.5073972603,4.27068493151,2.05589041096,365
86,europa,1986,12.2635616438,4.36630136986,2.13726027397,365
87,europa,1987,11.282739726,4.32164383562,2.27726027397,365
88,europa,1988,13.0775956284,5.99890710383,2.29699453552,366
89,europa,1989,14.02,6.14739726027,1.8301369863,365
90,europa,1990,13.9090410959,6.50054794521,2.47643835616,365
91,europa,1991,12.6342465753,5.13698630137,2.05369863014,365
92,europa,1992,13.8109289617,6.06612021858,2.15081967213,366
93,europa,1993,12.3452054795,5.20109589041,2.74109589041,365
94,europa,1994,13.6394520548,6.50575342466,2.73671232877,365
95,europa,1995,13.2676712329,5.42246575342,2.15068493151,365
96,europa,1996,11.4166666667,3.77404371585,1.34180327869,366
97,europa,1997,13.3356164384,5.4304109589,2.01863013699,365
98,europa,1998,12.9495890411,6.07945205479,2.73780821918,365
99,europa,1999,14.3852054795,6.27369863014,1.76301369863,365
100,europa,2000,13.9161202186,6.72841530055,1.85409836066,366
101,europa,2001,12.9756164384,5.40821917808,2.4101369863,365
102,europa,2002,13.5043835616,6.12383561644,2.68465753425,365
103,europa,2003,14.1002739726,4.83753424658,1.55178082192,365
104,europa,2004,13.2724043716,5.66693989071,2.22677595628,366
105,europa,2005,13.598630137,5.44493150685,1.91808219178,365
106,europa,2006,14.1402739726,6.21095890411,1.7602739726,365
107,europa,2007,14.1271232877,6.48136986301,2.93643835616,365
108,europa,2008,14.0989071038,6.14234972678,2.19180327869,366
109,europa,2009,13.7279452055,5.59150684932,2.0597260274,365
110,europa,2010,11.9339726027,4.12931506849,1.95561643836,365
111,europa,2011,13.9635616438,5.99397260274,1.96109589041,365
112,europa,2012,13.1674863388,5.28524590164,1.99918032787,366
113,europa,2013,12.9180821918,5.13863013699,1.99945205479,365
114,europa,2014,14.8591780822,6.64520547945,1.86630136986,365
115,europa,2015,14.0635616438,5.97780821918,2.17369863014,365
116,europa,2016,3.11290322581,-2.0064516129,1.7,31
117,north_america,1900,17.2586834653,4.90848387934,2.46670881115,53282
118,north_america,1901,16.729576128,4.22738592126,2.26155893996,53284
119,north_america,1902,16.3753635192,4.27643094188,2.61362187046,53285
120,north_america,1903,16.1548283288,3.88561745117,2.46420586373,53288
121,north_america,1904,16.0185474332,3.34452806051,2.26945030886,53433
122,north_america,1905,16.2800226056,3.87394754315,2.53536534562,53290
123,north_america,1906,16.7487477972,4.54307193294,2.550751927,53289
124,north_america,1907,16.239573866,3.8990537767,2.41345050289,53289
125,north_america,1908,17.2225748995,4.43530988087,2.36723583845,53434
126,north_america,1909,16.3312171839,4.12919572085,2.64582908185,53288
127,north_america,1910,17.2061892445,4.17446605866,1.94288431515,53290
128,north_america,1911,17.1146867171,4.49730178803,2.37400890315,53288
129,north_america,1912,15.8855147733,3.45775229537,2.39016733569,53435
130,north_america,1913,17.2046421112,4.49134631757,2.29646598058,53290
131,north_america,1914,16.8304676183,4.28164809908,2.28084837355,53289
132,north_america,1915,16.3132139609,4.35535250166,2.64307241527,53290
133,north_america,1916,16.1694928031,3.48959569441,2.37811819236,53435
134,north_america,1917,15.4227439248,2.70156084381,2.12040378514,53289
135,north_america,1918,16.9119867911,4.19874147418,2.29892839076,53289
136,north_america,1919,16.6118928829,4.39875123655,2.49497455719,53289
137,north_america,1920,16.1674328229,4.05611379817,2.46928160575,53436
138,north_america,1921,18.0959063188,5.58470772205,2.33777346054,53287
139,north_america,1922,17.1254457698,4.56001247716,2.36082986893,53289
140,north_america,1923,16.7815690105,4.19522723969,2.28538501084,53289
141,north_america,1924,15.9448212818,3.18067008189,2.22567180717,53432
142,north_america,1925,17.0582729283,4.30245331165,2.1443243193,53288
143,north_america,1926,16.5146037828,4.06420055039,2.42524836525,53289
144,north_america,1927,16.7014169873,4.4872936401,2.51080283049,53288
145,north_america,1928,16.8239667868,4.38430520792,2.35125493118,53433
146,north_america,1929,16.2271299552,3.61252205946,2.33766001667,53289
147,north_america,1930,17.2483430397,4.40103002911,1.93604358791,53290
148,north_america,1931,18.3081463594,5.73447803028,2.2472515816,53289
149,north_america,1932,16.8658038073,4.36072255077,2.33567347319,53436
150,north_america,1933,17.6705077009,4.83099214968,2.2320845547,53288
151,north_america,1934,18.082386476,4.98303371524,2.06954539422,53290
152,north_america,1935,16.4548642417,4.42423254334,2.30486158317,53289
153,north_america,1936,17.0086274071,4.05486656577,2.13913330443,53435
154,north_america,1937,16.4816760731,4.22805637965,2.461776818,53290
155,north_america,1938,17.7448686942,5.16484060749,2.47805882726,53290
156,north_america,1939,17.9996166473,4.82120616616,2.06505331866,53290
157,north_america,1940,16.3913394545,4.1412095623,2.37253893764,53436
158,north_america,1941,17.4777384754,5.20752101437,2.39074629641,53289
159,north_america,1942,16.8717191611,4.46542227824,2.5049124944,53290
160,north_america,1943,16.8401882991,3.87734648704,2.18556175731,53289
161,north_america,1944,16.9715135608,4.51656337213,2.385015919,53433
162,north_america,1945,16.6417797366,4.22529964875,2.61843097952,53290
