station,DIFF_TMAX,DIFF_TMIN,DIFF_PRCP,NRECORDS,TMAX,TMIN,PRCP,SIMILARIDAD
RSM00025777,8496986.09,7263726.05,1682420.67,21258,19.9926909332,18.4849605004,8.89623192266,19.2388257168
US1COEP0286,1318483.71,554591.23,125781.023031,2420,23.3415504913,15.1383595463,7.20941255247,19.2399550188
US1OKMR0001,385581.97,161779.27,90716.2525,707,23.3533211689,15.1269624488,11.3274679923,19.2401418089
US1IASR0019,249686.34,105518.29,60946.4674083,459,23.3233564104,15.1620362105,11.5230627329,19.2426963105
ASN00109501,1035939.34,442308.1,157661.569722,1912,23.2767969928,15.2096248568,9.08069270377,19.2432109248
US1ORCC0036,194181.66,80935.24,33479.2355472,355,23.387829988,15.0992248658,9.7112154629,19.2435274269
US1IASR0022,249832.85,105448.08,57160.9547584,459,23.3301982021,15.156991096,11.1594655113,19.2435946491
US1NCWK0055,249832.85,105448.08,53137.2896603,459,23.3301982021,15.156991096,10.7595313838,19.2435946491
US1NCGL0017,250508.85,105676.09,51865.1921632,460,23.3363333993,15.1568674348,10.6183999617,19.246600417
ASN00060065,1257166.63,529117.98,383838.48,2306,23.3489185859,15.1476969646,12.9016306277,19.2483077753
US1PAWN0052,194131.97,81113.65,34787.61,355,23.3848373892,15.1158577305,9.89915489351,19.2503475599
US1ORKL0005,187361.58,77955.1,20174.307225,342,23.40600088,15.0976451438,7.68044285261,19.2518230119
US1IAWR0001,251295.18,106033.54,58785.4029412,461,23.3475662613,15.1660040538,11.2923488717,19.2567851575
US1COMT0028,1148831.94,485214.5,104956.469601,2108,23.3449499636,15.1716069204,7.05617435901,19.258278442
US1NCDH0034,250750.94,105914.64,52796.6770139,460,23.347606711,15.1739651176,10.7133274389,19.2607859143
CA008502600,944394.41,1139242.05,258964.75,2802,18.3587301542,20.1638722765,9.61360470541,19.2613012154
US1TXSP0017,409902.43,174370.87,111494.685,754,23.3160282867,15.2072713133,12.1602193653,19.2616498
CA003073643,345078.66,454206.62,51563.22,1072,17.9416201909,20.583979334,6.93541769879,19.2627997625
US1IACS0001,251359.03,106161.78,53143.669302,461,23.3505321905,15.1751723823,10.7368109378,19.2628522864
US1COJF0050,1506447.64,632890.67,178229.081561,2757,23.3753777374,15.1511627621,8.04027497064,19.2632702498
US1WYGS0021,829319.65,356276.95,79779.99185,1531,23.2741260734,15.2547911973,7.21870673167,19.2644586354
US1INOH0001,366482.5,156046.04,80688.74,674,23.318288565,15.2158573383,10.9414912811,19.2670729517
CA001197530,2699604.69,4309646.63,703936.01,9314,17.0247980977,21.5106093893,8.69357638407,19.2677037435
US1COLA0012,976570.0,417655.15,99877.08,1799,23.2989370343,15.2367849776,7.45104758146,19.2678610059
US1IABH0008,249403.39,105351.47,51473.698425,457,23.3610885773,15.1831610919,10.6129125787,19.2721248346
US1MDMG0074,597279.38,256199.92,152557.543194,1101,23.2913735868,15.2544247687,11.7712662671,19.2728991777
CA005062111,928064.15,1123383.42,212284.88,2754,18.3572249751,20.1967754496,8.77965728203,19.2770002124
US1MIKN0010,241026.45,101612.44,53724.0772222,441,23.3783069981,15.1793839185,11.0373594831,19.2788454583
USC00505885,1334831.16,1091291.99,493677.22,3255,20.2505895687,18.3102800736,12.3153298248,19.2804348212
US1COFM0051,950904.24,405547.61,92570.3775868,1747,23.3303868175,15.2361230227,7.27929910964,19.2832549201
US1ILCP0072,398400.89,167611.41,71452.2352778,728,23.3934599788,15.1735115678,9.90700130373,19.2834857733
GLE00147521,3013823.69,2815371.87,1056406.46,7835,19.6127919199,18.9560734627,11.6117057985,19.2844326913
US1COBO0256,1607589.91,670372.56,175691.675329,2927,23.4356106732,15.1337568991,7.74754720168,19.2846837862
US1ILKK0028,399076.89,167839.42,68181.840591,729,23.3972343693,15.1734109728,9.6709824757,19.285322671
FIE00146622,2331542.11,1624839.65,334415.84,5276,21.021767979,17.5490196694,7.96142900374,19.2853938242
US1INEL0045,408450.04,172307.86,74353.2222222,747,23.3834813948,15.1877081632,9.97676163495,19.285594779
US1ILLK0025,415847.66,175713.07,75506.4329713,761,23.3762478147,15.1953149118,9.96092450755,19.2857813632
US1COPH0013,1511517.39,632833.73,185861.635502,2756,23.4189256297,15.1532295724,8.21211969189,19.286077601
ASN00046127,1160550.05,491202.88,101034.41,2125,23.3696640969,15.2037592874,6.8953320954,19.2867116922
USC00410781,1282368.07,538742.3,233599.52,2341,23.4048380888,15.1701484676,9.98930483172,19.2874932782
US1COAD0215,1333393.27,560717.65,145380.940474,2435,23.4007429812,15.1747879363,7.72688154087,19.2877654588
US10boon009,820238.19,352039.51,148849.042569,1510,23.3067393545,15.2688816992,9.92852078008,19.2878105268
US1IAST0010,252078.55,106398.74,55031.5907306,461,23.3839289789,15.1920989283,10.9258584726,19.2880139536
US1IAPK0065,252078.55,106398.74,47263.8499245,461,23.3839289789,15.1920989283,10.125444199,19.2880139536
US1TXFB0022,55264.13,25081.42,16651.4,104,23.0518082888,15.529568571,12.6534428273,19.2906884299
ASN00045040,298573.11,127303.32,21210.0,548,23.3418388651,15.2415658142,6.2212843981,19.2917023396
CA002100460,4476256.38,5600528.39,1004985.42,13494,18.2132363587,20.3724916575,8.62997480272,19.2928640081
US1TXCRL003,410563.57,173111.62,72213.0713132,750,23.3969676098,15.1926131173,9.81244592771,19.2947903636
US1COFM0077,411894.23,177559.31,30627.1025,759,23.295496237,15.295047723,6.35231561734,19.29527198
US1NYST0028,819086.28,350011.83,176200.445,1504,23.3367786843,15.2551837632,10.8237956003,19.2959812238
US1NMDA0152,619596.78,265212.12,72325.7511136,1138,23.333691143,15.2660103516,7.97214786467,19.2998507473
CA006145064,254872.54,115602.2,45216.06,479,23.0671408152,15.5351443447,9.71580078885,19.30114258
US1COLG0040,1562183.53,652952.52,172751.737733,2842,23.4452026306,15.1575414442,7.79649088619,19.3013720374
US1TXKM0001,251450.81,105442.61,84649.3553233,458,23.4311595063,15.1731354473,13.5949961353,19.3021474768
US1TNSV0004,216400.62,90696.42,50113.2002778,394,23.4358731923,15.1721441923,11.2778926954,19.3040086923
US1TXBEL034,258086.79,108250.51,36394.9444493,470,23.4333273307,15.1763050194,8.79977568009,19.3048161751
US10brow008,417437.03,176771.92,57797.0925,763,23.3901613106,15.2210415166,8.70343573412,19.3056014136
MGM00044275,2604069.23,4149823.64,603161.71,8939,17.0679669926,21.5461833668,8.21433505338,19.3070751797
US1TXUV0010,821751.47,349972.36,199743.585135,1505,23.3669481486,15.2492548699,11.5204162305,19.3081015093
US1COME0010,1041638.78,445445.42,86233.5997222,1910,23.3529573673,15.2714602243,6.71926197807,19.3122087958
US1COYU0002,1597982.77,668125.88,188710.508713,2904,23.457824897,15.1680880574,8.06120075088,19.3129564772
US1INJY0005,373611.96,157483.46,70892.6933333,681,23.4226931642,15.2070130278,10.2029834494,19.314853096
RSM00030499,9744955.71,8976870.23,2215823.11,25079,19.7121877555,18.9194002835,9.39966630386,19.3157940195
RSM00030636,12508173.25,16011770.86,2751991.01,38065,18.1273377626,20.5095799653,8.50277306972,19.318458864
ASN00094240,142042.14,59406.86,24896.65,258,23.4638217312,15.1742923158,9.82337230338,19.3190570235
US1PACN0009,420166.85,178063.08,59413.3746528,767,23.405246016,15.2366418294,8.80125144094,19.3209439227
CA008504050,771533.98,1016014.69,174319.9,2383,17.9934941849,20.6484745352,8.55286196281,19.3209843601
US1INKS0018,396711.29,167019.7,61016.5457389,722,23.4405976993,15.2095109841,9.19295660611,19.3250543417
MUM00041270,233994.39,98608.6,20430.29,426,23.4367789091,15.2143217678,6.92520232412,19.3255503385
US1WYNT0028,828109.34,355699.96,78775.4682036,1519,23.3488209361,15.3025223065,7.20139461493,19.3256716213
US1COHF0013,1007042.19,431268.33,104671.969886,1845,23.3628406921,15.2888774067,7.53211623689,19.3258590494
US1INWL0002,397420.64,168369.72,75339.4963889,725,23.4129536795,15.23922887,10.1939465735,19.3260912748
CA008503630,881632.73,1084648.03,209421.02,2625,18.3264859594,20.3273030558,8.93193350795,19.3268945076
US1TXLK0001,118713.41,50566.29,67176.7675,217,23.3894507317,15.2651360256,17.594611594,19.3272933786
RSM00030758,11999944.65,19846906.83,3234246.89,41959,16.9113024534,21.7487274521,8.7795856504,19.3300149528
US1ILMG0006,23656.39,9953.73,6024.01,43,23.4552468469,15.2145355836,11.8360996876,19.3348912153
US10sher018,395346.55,166583.99,31293.6860572,719,23.4490110583,15.2213153926,6.59726479096,19.3351632254
ASN00027030,35481.05,12920.29,11491.76,61,24.1175570358,14.5536261044,13.7255057538,19.3355915701
CA005062045,390677.79,547640.01,72497.18,1246,17.7072182414,20.964695731,7.62783931296,19.3359569862
US1COBO0211,1579750.88,660614.55,182116.673705,2864,23.4859318404,15.1875443995,7.97422247363,19.33673812
US1WYJN0013,827335.49,355527.83,72373.4613889,1516,23.3609890918,15.3139491399,6.90939579533,19.3374691158
US1ORJF0001,193319.9,80660.07,19805.7108333,350,23.5019695223,15.1808215475,7.52248265123,19.3413955349
US1COWA0019,31888.63,12299.55,3261.16,56,23.8629382396,14.8200816944,7.63118601529,19.341509967
US1IALE0007,250902.02,106324.67,53756.1826389,457,23.4311702102,15.2531282439,10.8456631148,19.342149227
US1TXEL0030,288891.36,118807.56,88071.145,520,23.5703268474,15.1154251321,13.0141302644,19.3428759897
US1COCF0018,1321872.51,557872.31,132680.18453,2403,23.4540528855,15.2366859941,7.43063874984,19.3453694398
ASN00047056,1475868.58,618834.65,144679.04,2676,23.4844713825,15.2070248941,7.35291854037,19.3457481383
US1ORDS0018,193418.22,80721.28,20260.6188783,350,23.5079451615,15.1865805424,7.60838238454,19.3472628519
US1OKGD0009,382621.71,163048.77,106928.84,698,23.4130014942,15.2837896597,12.377123273,19.3483955769
US1COBO0338,1319499.81,557172.74,148527.569554,2398,23.457410967,15.2429961767,7.87007639096,19.3502035719
ASN00029171,148568.04,62163.33,21201.34,269,23.5010116052,15.2016593205,8.87780323811,19.3513354629
RSM00030542,4698868.91,6038242.14,1187280.43,14278,18.1410732017,20.5646618905,9.11891076544,19.3528675461
US1COYU0037,1436393.87,605226.4,183352.004584,2607,23.4728733739,15.2366122765,8.38633710347,19.3547428252
US1INKS0025,382364.46,160593.18,60485.7625,693,23.4894118175,15.2228837766,9.34243236896,19.3561477971
RSM00030745,7703238.46,12647500.3,2061227.93,26752,16.9690896115,21.7432380837,8.7777838325,19.3561638476
US1CORG0015,1055067.56,451942.88,88423.4823361,1926,23.4051804403,15.3184080143,6.77572335369,19.3617942273
US1ILCP0035,393646.07,165927.69,68363.6715985,714,23.4803114973,15.2443997156,9.78506204444,19.3623556065
US1GACD0002,16970.42,7284.37,16622.83,31,23.3972840994,15.3290468529,23.1564315597,19.3631654761
ASN00007142,950386.53,405770.07,119598.35,1732,23.4248162215,15.3061533838,8.30976324133,19.3654848027
US1MDHW0011,615358.09,264428.13,120347.829021,1124,23.3981112554,15.3380684382,10.3475128538,19.3680898468
US1VAFQ0010,615358.09,264428.13,114664.652551,1124,23.3981112554,15.3380684382,10.1002383851,19.3680898468
US1MDHW0021,615358.09,264428.13,131799.036961,1124,23.3981112554,15.3380684382,10.8286162403,19.3680898468
GQC00914727,748921.93,320744.96,237791.97,1366,23.4149332598,15.3233799681,13.1939016593,19.3691566139
US1PABR0017,616034.09,264656.14,152275.806561,1125,23.4005525101,15.3378584627,11.634271464,19.3692054864
US1MDBC0001,616034.09,264656.14,118546.876326,1125,23.4005525101,15.3378584627,10.2652326412,19.3692054864
US1MDHR0018,616034.09,264656.14,125633.824491,1125,23.4005525101,15.3378584627,10.5676161294,19.3692054864
ASN00029169,950206.97,405762.23,238280.06,1731,23.4293678998,15.3104260229,11.7326284188,19.3698969614
US1NMMK0001,655961.78,279554.14,45095.0022222,1194,23.4388934315,15.301387047,6.14556820492,19.3701402392
US1COBA0010,5589.52,2279.75,1322.49,10,23.6421657214,15.0988410151,11.4999565217,19.3705033683
CA002100413,117258.13,132123.53,32529.15,332,18.7932737583,19.9489959587,9.89845278162,19.3711348585
US1VAFX0040,614428.64,264059.77,139945.674506,1122,23.4012629731,15.341036099,11.1682033092,19.371149536
US1MDHW0020,616222.45,264734.38,140052.868239,1125,23.40412974,15.3401254522,11.1575731427,19.3721275961
USC00033930,197955.01,83050.2,29498.27,358,23.5148241607,15.2310143747,9.07730148418,19.3729192677
US1COWE0348,384146.3,159586.34,58538.745,692,23.5610846733,15.1860494621,9.19747585693,19.3735670677
US1INLG0010,390294.35,164463.21,58996.8830556,707,23.4955937968,15.2519254703,9.13492165113,19.3737596336
US1COEP0074,315921.37,134741.31,45137.5227778,575,23.4398905621,15.3079297439,8.86002480886,19.373910153
USW00026703,3837297.55,2762931.77,659563.89,8733,20.9619175344,17.7870264157,8.69053884841,19.374471975
US1OKNB0001,615269.73,264425.57,150751.51,1123,23.4068459287,15.3448216993,11.5861983021,19.375833814
ASN00011022,1287005.41,545137.46,131107.37,2335,23.4772240077,15.2795150545,7.49324806711,19.3783695311
US1ILKN0057,393881.41,165890.52,69247.2958757,713,23.5037942686,15.2533775259,9.8550003594,19.3785858972
US1TNDC0009,254805.7,107831.51,59373.0125111,462,23.484622398,15.2774846358,11.3363580613,19.3810535169
US1COMT0016,603132.84,259081.77,44213.4075,1100,23.4158617569,15.3469502449,6.3398743535,19.3814060009
US1VAFX0033,611953.34,262869.98,139133.780314,1116,23.4167736193,15.3475267408,11.1656547573,19.3821501801
US1COLA0025,1064796.69,455847.5,102081.37638,1939,23.4338929509,15.3327792876,7.25578414073,19.3833361192
US1CODG0156,1312435.77,555085.9,152949.703868,2378,23.492709264,15.2782697205,8.01988969542,19.3854894922
US1INBL0014,389549.47,164273.65,70400.6214028,705,23.5064340068,15.2647394181,9.99294938698,19.3855867125
